First Name,Last Name,Username,User Agent,Employer,Email,Street,City,State,Postal Code,Country,Orders,Order Amount
Nicolas,Janel,27e5e4b2-ef82-4cc0-9679-05afbd0c3850,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_2_1 like Mac OS X; nb-no) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148a Safari/6533.18.5",Niels and Sons,quentin_aspernatur@free.fr,Aubry Trace,Aubry haven,Nebraska,93089-2166,HN,111,270565.60159149766
Xavier,Ferry,6bde257e-e4e3-461a-adaa-ccca3bfb34d3,"Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",Geneau Inc,victor_maiores@orange.fr,Niels Street,Aubry mouth,Montana,03013,TJ,149,816822.6415421665
Béatrice,Yvars,e4947c69-e485-4c99-ab81-210ff2a59583,"Mozilla/5.0 (Linux; U; Android 2.3; en-us) AppleWebKit/999+ (KHTML, like Gecko) Safari/999.9",Kléber and Cannet Group,céline_eveniet@orange.fr,Barbier Inlet,Céline berg,New Jersey,34607-0246,GM,145,920590.0582188017
Martine,Cannet,4f2b9e12-4d11-481d-aa4f-a9eb77f01eb4,Opera/9.80 (Macintosh; Intel Mac OS X 10.6.8; U; fr) Presto/2.9.168 Version/11.52,Ogier Group,pascal_nulla@hotmail.fr,Yann Road,Ferry borough,Vermont,87714,KE,174,738712.8689009572
Régis,Truchot,e6760e49-34ec-4cb6-bc0e-56904d636c71,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_2_1 like Mac OS X; nb-no) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148a Safari/6533.18.5",Barbier LLC,céline_laborum@outlook.fr,Léopold Trail,Damien chester,New York,71291-1457,EH,102,287898.74890212406
Béatrice,Évrat,6130aacc-4a54-4473-88ca-5598969a4068,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1944.0 Safari/537.36",Évrat and Ogier and Sons,william_sit@free.fr,Régis Shoal,William borough,Indiana,36830,SY,28,527470.5002217797
Ugo,Dupond,de609852-bf87-4caa-ae00-15e0dec4ab91,"Mozilla/5.0 (iPad; CPU OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko ) Version/5.1 Mobile/9B176 Safari/7534.48.3",Zola and Hénaut Group,ugo_provident@outlook.fr,Lombard Crossing,Urbain burgh,Massachusetts,93237,HK,184,199703.39600793706
Salomé,Yvars,b6a46cb6-0325-42f6-beb4-af2a709e7df3,"Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",Urbain Inc,quentin_incidunt@orange.fr,Quesada Ranch,Niels haven,Indiana,71608-2575,DE,69,3166.3948660176634
Xavier,Ogier,5d507de0-ea3e-4daa-b8d0-cf592a408787,Mozilla/5.0 (Windows; U; MSIE 9.0; WIndows NT 9.0; en-US)),Lombard Group,xavier_accusantium@laposte.fr,Pascal Courts,Ferry shire,New Hampshire,50001-3273,AT,129,70545.4993482213
Quentin,Martin,072b8e36-aaa7-4871-bc31-71624f19d142,"Mozilla/5.0 (Linux; U; Android 2.3; en-us) AppleWebKit/999+ (KHTML, like Gecko) Safari/999.9",Parmentier and Janel LLC,régis_deleniti@orange.fr,Pascal Lakes,Janel port,Mississippi,89254-5606,CV,68,354455.5366562108
Béatrice,Xharde,97a7d04f-a59b-49fb-b35e-70328a3b38ae,Opera/9.80 (X11; Linux i686; U; es-ES) Presto/2.8.131 Version/11.11,Ivanov and Martin LLC,ingrid_aut@laposte.fr,Aubry Circles,Parmentier berg,Georgia,94462-5954,WS,93,859610.3611614933
Salomé,Cannet,dd6efe39-2cf9-4545-9844-8c6309c16740,Opera/9.80 (Windows NT 6.0) Presto/2.12.388 Version/12.14,Janel and Ferry Inc,elodie_exercitationem@outlook.fr,Karim Mills,Jérémie chester,Washington,63669-4295,KR,3,403696.62308787246
Quentin,Parmentier,f3075010-9504-43e8-bb91-00ff3c39e99c,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; AS; rv:11.0) like Gecko,Geneau Inc,gerard_similique@outlook.fr,Zoé Flat,Port Yann Cannet berg,Wisconsin,57932-8991,CI,35,611284.2738300122
Ingrid,Lombard,541e8c37-a489-4528-bdb3-e8c179a13f67,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1944.0 Safari/537.36",Janel Inc,régis_quia@sfr.fr,Niels Loop,Amandine borough,Oklahoma,09067,LS,15,173898.2956319932
William,Ogier,cb171931-955c-47f6-bbef-da8b1294251f,"Mozilla/5.0 (iPad; CPU OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko ) Version/5.1 Mobile/9B176 Safari/7534.48.3",Zola and Sons,océane_facilis@hotmail.fr,Jérémie Bypass,New Amandine Hénaut land,Washington,69409,CM,133,457181.34319042345
Océane,Barbier,2c5eeccf-ba4c-45dd-b345-f876ac3be782,"Mozilla/5.0 (Linux; U; Android 4.0.3; ko-kr; LG-L160L Build/IML74K) AppleWebkit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",Parmentier and Hénaut Inc,xavier_porro@sfr.fr,Nicolas Street,North Salomé Ivanov haven,North Carolina,87671,TZ,122,304084.00723673525
Quentin,Cannet,2fcca6de-a2eb-4178-9f7f-967e563cd346,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.246",Cannet Group,ugo_quia@sfr.fr,Ugo Lake,Ferry burgh,Connecticut,98346,BL,117,500111.60428037104
